Date,Pump_price,Crude_cost,Fed_car_tax,Ont_tax,GST_HST,Who_Marg,Ret_marg,Ret_sales
3/1/2019,114.9,47,0,14.7,13.2,19.7,10.3,8853920
4/1/2019,127,53.5,4.4,14.7,14.6,23.7,6,8970817
5/1/2019,127.8,50.1,4.4,14.7,14.7,27.9,5.9,9184031
6/1/2019,118.9,42.5,4.4,14.7,13.7,26.4,7.2,9178795
7/1/2019,125.5,46.8,4.4,14.7,14.4,28.9,6.3,9284227
8/1/2019,118.5,45.6,4.4,14.7,13.6,22.7,7.5,9185404
9/1/2019,116.3,46.5,4.4,14.7,13.4,21.2,6.2,9297821
10/1/2019,116.9,43.1,4.4,14.7,13.4,24.4,6.9,9098712
11/1/2019,116.3,43.2,4.4,14.7,13.4,23.7,6.9,9338893
12/1/2019,116.6,45.7,4.4,14.7,13.4,21.4,7,9725583
1/1/2020,114.5,42.2,4.4,14.7,13.2,23.6,6.5,9609562
2/1/2020,111.2,39.5,4.4,14.7,12.8,23.1,6.7,9791269
3/1/2020,87.6,25.7,4.4,14.7,10.1,17.4,5.4,8534328
4/1/2020,79.8,11.8,6.6,14.7,9.2,20.6,6.9,6022345
5/1/2020,90.9,26.1,6.6,14.7,10.5,15,8.1,6781521
6/1/2020,99,32.9,6.6,14.7,11.4,16,7.4,9030030
7/1/2020,104.3,33.5,6.6,14.7,12,20.4,7.1,9102943
8/1/2020,103.1,35,6.6,14.7,11.9,18.4,6.5,9073104
9/1/2020,101.6,33,6.6,14.7,11.7,19,6.6,9513202
10/1/2020,99.5,33.5,6.6,14.7,11.4,17.8,5.4,9017806
11/1/2020,98.5,33.1,6.6,14.7,11.3,16.7,6.1,9492266
12/1/2020,104.2,36.1,6.6,14.7,12,18,6.8,8955316
1/1/2021,110.2,39.1,6.6,14.7,12.7,20.3,6.8,9094059
2/1/2021,116.7,45,6.6,14.7,13.4,20.3,6.6,9030230
3/1/2021,123.7,49.6,6.6,14.7,14.2,21.2,7.4,9641124
4/1/2021,126.1,49.1,8.8,14.7,14.5,20.4,8.5,8646164
5/1/2021,129.2,49.4,8.8,14.7,14.9,25.1,6.4,8558503
